Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds
10-Jun-13,15:15,Melbourne,Collingwood,MCG,39,122,,5,9,17,20,15.9,1.02
9-Jun-13,16:40,St Kilda,West Coast,Etihad Stadium,80,84,,11,14,12,12,2.86,1.42
8-Jun-13,19:40,Gold Coast,North Melbourne,Metricon Stadium,66,51,,9,12,8,3,3.4,1.31
8-Jun-13,16:10,Adelaide,Sydney,AAMI Stadium,50,127,,6,14,19,13,2.47,1.53
8-Jun-13,13:40,GWS Giants,Geelong,Spotless Stadium,98,157,,15,8,24,13,17.9,1.01
7-Jun-13,19:50,Essendon,Carlton,MCG,77,72,,11,11,10,12,1.8,1.98
3-Jun-13,17:40,West Coast,Richmond,Domain Stadium,62,103,,8,14,16,7,1.28,3.63
2-Jun-13,16:40,North Melbourne,St Kilda,Etihad Stadium,133,65,,19,19,10,5,1.22,4.29
2-Jun-13,15:20,Melbourne,Hawthorn,MCG,48,143,,6,12,21,17,21.38,1.01
1-Jun-13,19:40,Geelong,Gold Coast,Simonds Stadium,123,71,,18,15,10,11,1.03,13.05
1-Jun-13,19:10,Western Bulldogs,Port Adelaide,TIO Stadium,67,58,,10,7,8,10,2.57,1.5
1-Jun-13,16:40,Sydney,Essendon,SCG,115,71,,17,13,10,11,1.51,2.52
1-Jun-13,13:40,Adelaide,Fremantle,AAMI Stadium,59,66,,8,11,10,6,1.81,1.98
1-Jun-13,13:45,Carlton,GWS Giants,Etihad Stadium,148,54,,22,16,8,6,1.01,18.52
31-May-13,19:50,Brisbane,Collingwood,Gabba,51,100,,7,9,14,16,4.5,1.2
26-May-13,14:40,Fremantle,Melbourne,Domain Stadium,130,40,,19,16,6,4,1.01,16.25
26-May-13,15:20,North Melbourne,Adelaide,Etihad Stadium,124,125,,19,10,18,17,1.44,2.74
26-May-13,13:10,Hawthorn,Gold Coast,MCG,118,92,,18,10,14,8,1.01,16.33
25-May-13,19:45,Richmond,Essendon,MCG,62,91,,9,8,13,13,2.04,1.75
25-May-13,19:40,Brisbane,Carlton,Gabba,85,98,,12,13,13,20,2.73,1.45
25-May-13,16:40,St Kilda,Western Bulldogs,Etihad Stadium,101,110,,15,11,17,8,1.18,4.71
25-May-13,14:10,GWS Giants,West Coast,Spotless Stadium,55,155,,8,7,23,17,16.03,1.01
25-May-13,13:15,Port Adelaide,Geelong,AAMI Stadium,68,116,,9,14,18,8,4.71,1.18
24-May-13,19:50,Collingwood,Sydney,MCG,55,102,,8,7,15,12,1.61,2.28
19-May-13,16:10,Adelaide,St Kilda,AAMI Stadium,87,47,,12,15,6,11,1.33,3.32
19-May-13,15:20,Richmond,Melbourne,MCG,106,72,,15,16,11,6,1.02,14.7
19-May-13,13:10,Carlton,Port Adelaide,Etihad Stadium,109,91,,16,13,14,7,1.37,3.04
18-May-13,19:40,Collingwood,Geelong,MCG,102,96,,15,12,14,12,3.29,1.33
18-May-13,19:40,Sydney,Fremantle,SCG,70,70,,11,4,9,16,1.35,3.15
18-May-13,16:40,Gold Coast,Western Bulldogs,Metricon Stadium,93,61,,13,15,8,13,1.62,2.26
18-May-13,14:10,Hawthorn,GWS Giants,Aurora Stadium,140,57,,21,14,9,3,1.01,29.63
18-May-13,13:45,Essendon,Brisbane,Etihad Stadium,86,96,,12,14,14,12,1.04,10.82
17-May-13,18:40,West Coast,North Melbourne,Domain Stadium,90,88,,12,18,13,10,1.37,3.06
13-May-13,19:40,St Kilda,Carlton,Etihad Stadium,77,68,,11,11,9,14,3.81,1.26
12-May-13,16:40,Melbourne,Gold Coast,MCG,54,114,,7,12,16,18,2.1,1.72
12-May-13,13:10,GWS Giants,Adelaide,Spotless Stadium,52,187,,7,10,29,13,9.51,1.05
11-May-13,17:40,Fremantle,Collingwood,Domain Stadium,100,73,,15,10,10,13,2.43,1.55
11-May-13,19:40,Hawthorn,Sydney,MCG,119,82,,18,11,12,10,1.48,2.63
11-May-13,16:40,Western Bulldogs,North Melbourne,Etihad Stadium,97,151,,15,7,22,19,7.64,1.08
11-May-13,14:10,Brisbane,West Coast,Gabba,82,108,,12,10,17,6,4.34,1.21
11-May-13,13:15,Port Adelaide,Richmond,AAMI Stadium,73,114,,10,13,18,6,1.55,2.43
10-May-13,19:50,Geelong,Essendon,Etihad Stadium,113,85,,17,11,11,19,1.65,2.21
5-May-13,14:40,West Coast,Western Bulldogs,Domain Stadium,137,67,,21,11,10,7,1.03,13.06
5-May-13,15:20,Carlton,Melbourne,MCG,121,60,,18,13,8,12,1.02,15.5
5-May-13,13:10,Sydney,Brisbane,SCG,115,55,,17,13,8,7,1.07,8.53
4-May-13,19:40,Gold Coast,Fremantle,Metricon Stadium,54,99,,7,12,15,9,2.83,1.42
4-May-13,19:40,Richmond,Geelong,MCG,87,131,,13,9,20,11,2.94,1.39
4-May-13,16:10,Adelaide,Hawthorn,AAMI Stadium,78,89,,11,12,13,11,4.46,1.2
4-May-13,14:10,North Melbourne,Port Adelaide,Blundstone Arena,93,83,,14,9,12,11,1.38,2.98
4-May-13,13:45,Essendon,GWS Giants,Etihad Stadium,120,81,,17,18,12,9,1.01,19.27
3-May-13,19:50,Collingwood,St Kilda,Etihad Stadium,103,77,,15,13,11,11,1.22,4.17
28-Apr-13,16:40,Hawthorn,North Melbourne,MCG,99,96,,14,15,13,18,1.18,4.89
28-Apr-13,15:20,Brisbane,Melbourne,Gabba,122,94,,17,20,14,10,1.17,4.92
27-Apr-13,19:15,Port Adelaide,West Coast,AAMI Stadium,84,79,,12,12,10,19,1.97,1.82
27-Apr-13,19:40,Western Bulldogs,Geelong,Etihad Stadium,86,107,,13,8,15,17,13.89,1.02
27-Apr-13,16:40,Carlton,Adelaide,MCG,115,83,,17,13,12,11,1.44,2.78
27-Apr-13,13:45,GWS Giants,Gold Coast,StarTrack Oval Canberra,104,148,,16,8,21,22,3.19,1.35
26-Apr-13,18:45,Fremantle,Richmond,Domain Stadium,81,80,,12,9,12,8,1.45,2.76
25-Apr-13,19:50,St Kilda,Sydney,Westpac Stadium,63,79,,9,9,11,13,4.76,1.19
25-Apr-13,14:40,Essendon,Collingwood,MCG,121,75,,18,13,10,15,2.21,1.65
21-Apr-13,16:40,North Melbourne,Brisbane,Etihad Stadium,125,62,,18,17,9,8,1.27,3.78
21-Apr-13,14:45,Adelaide,Western Bulldogs,AAMI Stadium,80,28,,12,8,4,4,1.11,6.46
21-Apr-13,13:10,Melbourne,GWS Giants,MCG,144,103,,22,12,15,13,1.46,2.69
20-Apr-13,19:40,Gold Coast,Port Adelaide,Metricon Stadium,66,104,,9,12,16,8,2.62,1.49
20-Apr-13,17:40,West Coast,Carlton,Domain Stadium,65,89,,7,23,12,17,1.39,2.95
20-Apr-13,16:40,St Kilda,Essendon,Etihad Stadium,91,128,,13,13,19,14,2.49,1.53
20-Apr-13,14:10,Richmond,Collingwood,MCG,79,113,,11,13,16,17,1.86,1.92
20-Apr-13,13:45,Hawthorn,Fremantle,Aurora Stadium,118,76,,18,10,11,10,1.17,5.04
19-Apr-13,19:50,Sydney,Geelong,SCG,103,124,,16,7,19,10,1.6,2.33
14-Apr-13,16:10,Port Adelaide,Adelaide,AAMI Stadium,118,109,,17,16,16,13,2.7,1.46
14-Apr-13,15:15,Collingwood,Hawthorn,MCG,90,145,,13,12,22,13,2.35,1.58
14-Apr-13,13:10,Richmond,Western Bulldogs,Etihad Stadium,135,68,,20,15,10,8,1.25,3.9
13-Apr-13,19:40,Geelong,Carlton,Etihad Stadium,119,103,,18,11,15,13,1.51,2.53
13-Apr-13,19:40,Gold Coast,Brisbane,Metricon Stadium,92,94,,13,14,13,16,2.66,1.47
13-Apr-13,16:40,GWS Giants,St Kilda,StarTrack Oval Canberra,68,140,,10,8,21,14,4.61,1.2
13-Apr-13,14:10,Melbourne,West Coast,MCG,83,177,,13,5,27,15,11.52,1.03
13-Apr-13,13:45,North Melbourne,Sydney,Blundstone Arena,92,131,,13,14,20,11,2.11,1.72
12-Apr-13,18:40,Fremantle,Essendon,Domain Stadium,68,72,,9,14,10,12,1.43,2.84
7-Apr-13,14:40,West Coast,Hawthorn,Domain Stadium,98,148,,15,8,23,10,1.96,1.82
7-Apr-13,15:15,Collingwood,Carlton,MCG,117,100,,17,15,15,10,1.47,2.68
7-Apr-13,13:10,Geelong,North Melbourne,Etihad Stadium,112,108,,16,16,17,6,1.43,2.79
6-Apr-13,19:40,Essendon,Melbourne,MCG,184,36,,28,16,5,6,1.08,7.93
6-Apr-13,19:10,Port Adelaide,GWS Giants,AAMI Stadium,134,78,,19,20,11,12,1.14,5.89
6-Apr-13,15:40,Brisbane,Adelaide,Gabba,77,96,,10,17,14,12,1.99,1.81
6-Apr-13,14:10,Western Bulldogs,Fremantle,Etihad Stadium,78,106,,11,12,16,10,3.26,1.33
6-Apr-13,13:45,Sydney,Gold Coast,SCG,114,73,,17,12,11,7,1.09,7.51
5-Apr-13,19:50,St Kilda,Richmond,MCG,82,99,,12,10,14,15,2.95,1.4
1-Apr-13,15:20,Hawthorn,Geelong,MCG,86,93,,12,14,13,15,1.6,2.32
31-Mar-13,16:40,North Melbourne,Collingwood,Etihad Stadium,87,103,,13,9,15,13,2.38,1.58
31-Mar-13,13:10,Melbourne,Port Adelaide,MCG,54,133,,8,6,19,19,1.83,1.94
30-Mar-13,18:45,Gold Coast,St Kilda,Metricon Stadium,90,77,,13,12,10,17,3.37,1.32
30-Mar-13,16:40,GWS Giants,Sydney,ANZ Stadium,76,106,,11,10,16,10,11.62,1.04
30-Mar-13,13:40,Western Bulldogs,Brisbane,Etihad Stadium,127,59,,19,13,7,17,3.83,1.27
28-Mar-13,19:45,Carlton,Richmond,MCG,101,106,,14,17,14,22,1.86,1.91
23-Mar-13,16:40,Fremantle,West Coast,Domain Stadium,108,80,,16,12,11,14,1.76,2.02
22-Mar-13,20:10,Adelaide,Essendon,AAMI Stadium,82,117,,11,16,18,9,1.46,2.68
29-Sep-12,14:30,Hawthorn,Sydney,MCG,81,91,Y,11,15,14,7,1.52,2.53
22-Sep-12,17:15,Hawthorn,Adelaide,MCG,97,92,Y,13,19,14,8,1.13,5.85
21-Sep-12,19:45,Sydney,Collingwood,ANZ Stadium,96,70,Y,13,18,10,10,1.55,2.43
15-Sep-12,19:45,Collingwood,West Coast,MCG,73,60,Y,10,13,9,6,1.86,1.91
14-Sep-12,19:45,Adelaide,Fremantle,AAMI Stadium,81,71,Y,12,9,11,5,1.6,2.31
9-Sep-12,13:15,West Coast,North Melbourne,Domain Stadium,162,66,Y,24,18,9,12,1.2,4.53
8-Sep-12,19:45,Geelong,Fremantle,MCG,80,96,Y,11,14,14,12,1.28,3.64
8-Sep-12,14:45,Adelaide,Sydney,AAMI Stadium,42,71,Y,5,12,11,5,1.63,2.24
7-Sep-12,19:50,Hawthorn,Collingwood,MCG,135,97,Y,20,15,15,7,1.32,3.35
2-Sep-12,16:40,Brisbane,Western Bulldogs,Gabba,128,61,,19,14,9,7,1.2,4.56
2-Sep-12,15:15,Richmond,Port Adelaide,MCG,106,106,,16,10,16,10,1.1,6.84
2-Sep-12,13:10,Carlton,St Kilda,Etihad Stadium,91,106,,12,19,16,10,1.97,1.8
1-Sep-12,19:40,Essendon,Collingwood,MCG,72,104,,10,12,14,20,5.25,1.15
1-Sep-12,17:40,Fremantle,Melbourne,Domain Stadium,101,40,,14,17,5,10,1.03,11.75
1-Sep-12,16:40,GWS Giants,North Melbourne,Spotless Stadium,77,105,,11,11,16,9,16,1.01
1-Sep-12,13:40,Adelaide,Gold Coast,AAMI Stadium,153,62,,22,21,9,8,1.01,16.82
1-Sep-12,13:45,Geelong,Sydney,Simonds Stadium,112,78,,17,10,11,12,1.65,2.2
31-Aug-12,19:50,Hawthorn,West Coast,MCG,95,70,,14,11,10,10,1.25,3.9
26-Aug-12,16:40,Melbourne,Adelaide,MCG,81,150,,11,15,22,18,6.16,1.12
26-Aug-12,15:15,North Melbourne,Fremantle,Etihad Stadium,79,132,,12,7,20,12,1.27,3.67
26-Aug-12,13:10,Geelong,Western Bulldogs,Simonds Stadium,107,73,,16,11,11,7,1.02,15.55
25-Aug-12,19:40,Gold Coast,Carlton,Metricon Stadium,98,86,,15,8,11,20,13.6,1.02
25-Aug-12,17:40,West Coast,Collingwood,Domain Stadium,107,58,,15,17,8,10,1.68,2.16
25-Aug-12,16:40,Sydney,Hawthorn,SCG,95,102,,14,11,15,12,1.97,1.79
25-Aug-12,13:40,Port Adelaide,Brisbane,AAMI Stadium,93,104,,14,9,16,8,2.22,1.64
25-Aug-12,13:45,St Kilda,GWS Giants,Etihad Stadium,163,35,,25,13,5,5,1.01,20.4
24-Aug-12,19:50,Richmond,Essendon,MCG,102,57,,13,24,8,9,1.59,2.3
19-Aug-12,16:40,Hawthorn,Gold Coast,MCG,129,65,,19,15,10,5,1.01,23.58
19-Aug-12,15:15,Western Bulldogs,Sydney,Etihad Stadium,85,167,,13,7,26,11,8.66,1.06
19-Aug-12,12:40,Port Adelaide,West Coast,AAMI Stadium,50,98,,6,14,14,14,5.64,1.13
18-Aug-12,19:40,Brisbane,Adelaide,Gabba,95,85,,13,17,12,13,4.29,1.21
18-Aug-12,19:40,Collingwood,North Melbourne,Etihad Stadium,61,91,,8,13,13,13,1.31,3.42
18-Aug-12,14:40,Fremantle,Richmond,Domain Stadium,94,72,,13,16,11,6,1.39,2.95
18-Aug-12,14:10,GWS Giants,Melbourne,StarTrack Oval Canberra,59,84,,9,5,11,18,4.55,1.19
18-Aug-12,13:45,Essendon,Carlton,MCG,60,156,,8,12,24,12,2.05,1.74
17-Aug-12,19:50,Geelong,St Kilda,Etihad Stadium,123,81,,18,15,11,15,1.31,3.38
12-Aug-12,16:40,Essendon,North Melbourne,Etihad Stadium,76,100,,11,10,15,10,2.19,1.65
12-Aug-12,15:15,Richmond,Western Bulldogs,MCG,150,80,,22,18,12,8,1.14,5.62
12-Aug-12,13:10,Hawthorn,Port Adelaide,Aurora Stadium,159,87,,24,15,13,9,1.01,19.5
11-Aug-12,19:40,Carlton,Brisbane,Etihad Stadium,113,77,,17,11,10,17,1.19,4.68
11-Aug-12,19:40,Sydney,Collingwood,ANZ Stadium,70,78,,9,16,12,6,1.59,2.34
11-Aug-12,16:40,Gold Coast,GWS Giants,Metricon Stadium,109,79,,16,13,12,7,1.36,3.08
11-Aug-12,13:40,Adelaide,Fremantle,AAMI Stadium,119,91,,17,17,14,7,1.4,2.91
11-Aug-12,13:45,St Kilda,Melbourne,MCG,107,82,,16,11,12,10,1.05,9.67
10-Aug-12,18:40,West Coast,Geelong,Domain Stadium,102,97,,16,6,15,7,1.68,2.15
5-Aug-12,14:10,Adelaide,Essendon,AAMI Stadium,104,100,,16,8,15,10,1.15,5.45
5-Aug-12,15:15,Carlton,Sydney,Etihad Stadium,71,93,,10,11,14,9,2.97,1.39
5-Aug-12,13:10,Melbourne,Gold Coast,MCG,108,66,,16,12,9,12,1.39,3.02
4-Aug-12,19:40,Brisbane,Richmond,Gabba,84,132,,12,12,20,12,2.21,1.64
4-Aug-12,19:40,Collingwood,St Kilda,MCG,91,85,,12,19,13,7,1.4,2.94
4-Aug-12,14:40,Fremantle,West Coast,Domain Stadium,113,48,,17,11,6,12,2.59,1.49
4-Aug-12,14:10,GWS Giants,Port Adelaide,Spotless Stadium,107,73,,16,11,10,13,6.7,1.1
4-Aug-12,13:45,Western Bulldogs,North Melbourne,Etihad Stadium,61,115,,8,13,18,7,7.84,1.08
3-Aug-12,19:50,Hawthorn,Geelong,MCG,116,118,,17,14,18,10,1.29,3.61
29-Jul-12,14:40,West Coast,Brisbane,Domain Stadium,175,77,,28,7,12,5,1.14,5.66
29-Jul-12,15:15,St Kilda,Western Bulldogs,Etihad Stadium,118,42,,16,22,6,6,1.14,5.54
29-Jul-12,12:40,Port Adelaide,Fremantle,AAMI Stadium,48,75,,6,12,11,9,2.45,1.54
28-Jul-12,19:40,Carlton,Richmond,MCG,95,91,,14,11,13,13,2.34,1.58
28-Jul-12,19:40,Gold Coast,Sydney,Metricon Stadium,54,126,,8,6,19,12,9.98,1.05
28-Jul-12,16:40,GWS Giants,Collingwood,Spotless Stadium,54,174,,7,12,26,18,22.17,1.01
28-Jul-12,14:10,North Melbourne,Melbourne,Etihad Stadium,127,73,,19,13,11,7,1.09,7.67
28-Jul-12,13:45,Geelong,Adelaide,Simonds Stadium,102,75,,15,12,11,9,1.61,2.27
27-Jul-12,19:50,Essendon,Hawthorn,Etihad Stadium,86,180,,12,14,27,18,5.2,1.16
22-Jul-12,14:40,Fremantle,GWS Giants,Domain Stadium,132,37,,18,24,5,7,1.01,21.83
22-Jul-12,15:15,Richmond,North Melbourne,MCG,99,103,,14,15,15,13,2.1,1.73
22-Jul-12,13:10,Sydney,St Kilda,SCG,105,76,,15,15,10,16,1.36,3.11
21-Jul-12,19:10,Melbourne,Port Adelaide,TIO Stadium,56,84,,8,8,12,12,2.24,1.63
21-Jul-12,19:40,Western Bulldogs,Carlton,Etihad Stadium,84,102,,12,12,16,6,2.35,1.58
21-Jul-12,16:40,Gold Coast,Brisbane,Metricon Stadium,48,59,,5,18,8,11,3.95,1.25
21-Jul-12,13:40,Adelaide,West Coast,AAMI Stadium,124,75,,19,10,11,9,1.43,2.78
21-Jul-12,13:45,Collingwood,Hawthorn,MCG,91,138,,13,13,21,12,1.9,1.88
20-Jul-12,19:50,Geelong,Essendon,Etihad Stadium,134,67,,20,14,10,7,2.02,1.76
15-Jul-12,14:40,West Coast,Sydney,Domain Stadium,69,121,,10,9,18,13,1.69,2.13
15-Jul-12,15:15,Western Bulldogs,Hawthorn,Etihad Stadium,44,116,,6,8,17,14,10.07,1.04
15-Jul-12,13:10,GWS Giants,Adelaide,Spotless Stadium,59,178,,8,11,27,16,16.46,1.01
14-Jul-12,19:40,Brisbane,St Kilda,Gabba,92,105,,14,8,16,9,2.53,1.51
14-Jul-12,19:40,Geelong,Collingwood,MCG,79,110,,10,19,17,8,2.65,1.48
14-Jul-12,16:40,Richmond,Gold Coast,Cazaly’s Stadium,88,90,,13,10,13,12,1.16,5.18
14-Jul-12,13:40,Port Adelaide,Essendon,AAMI Stadium,77,127,,11,11,19,13,2.7,1.45
14-Jul-12,13:45,Melbourne,Fremantle,Etihad Stadium,83,117,,12,11,18,9,3.16,1.35
13-Jul-12,19:50,North Melbourne,Carlton,Etihad Stadium,149,96,,24,5,14,12,2.12,1.7
8-Jul-12,14:40,Fremantle,Western Bulldogs,Domain Stadium,95,57,,14,11,8,9,1.19,4.73
8-Jul-12,15:15,Gold Coast,Geelong,Metricon Stadium,96,110,,13,18,15,20,12.68,1.03
8-Jul-12,13:10,Hawthorn,GWS Giants,MCG,193,31,,28,25,4,7,1,21
7-Jul-12,19:10,Port Adelaide,Adelaide,AAMI Stadium,58,116,,8,10,17,14,3.73,1.27
7-Jul-12,19:40,St Kilda,Essendon,Etihad Stadium,133,62,,21,7,8,14,2.93,1.4
7-Jul-12,16:40,Sydney,Brisbane,SCG,110,63,,16,14,9,9,1.17,5.05
7-Jul-12,14:10,Melbourne,Richmond,MCG,78,101,,11,12,13,23,4.72,1.18
7-Jul-12,13:45,North Melbourne,West Coast,Blundstone Arena,84,86,,13,6,12,14,2.67,1.46
6-Jul-12,19:50,Collingwood,Carlton,MCG,62,85,,8,14,12,13,1.2,4.46
1-Jul-12,16:40,St Kilda,North Melbourne,Etihad Stadium,103,136,,15,13,21,10,1.38,2.97
1-Jul-12,15:15,Brisbane,Melbourne,Gabba,122,61,,18,14,8,13,1.18,4.91
1-Jul-12,13:10,Geelong,Port Adelaide,Simonds Stadium,99,61,,14,15,8,13,1.04,11.25
30-Jun-12,19:40,Essendon,Western Bulldogs,Etihad Stadium,140,56,,21,14,8,8,1.19,4.61
30-Jun-12,19:40,Sydney,GWS Giants,ANZ Stadium,132,38,,19,18,5,8,1.01,19.94
30-Jun-12,16:40,West Coast,Gold Coast,Domain Stadium,166,40,,25,16,5,10,1.01,19.42
30-Jun-12,13:40,Adelaide,Richmond,AAMI Stadium,106,87,,17,4,13,9,1.4,2.88
30-Jun-12,13:45,Collingwood,Fremantle,MCG,107,78,,15,17,12,6,1.1,7.11
29-Jun-12,19:50,Carlton,Hawthorn,MCG,70,120,,10,10,18,12,3.43,1.3
24-Jun-12,16:40,North Melbourne,Adelaide,Etihad Stadium,121,89,,17,19,13,11,3.12,1.35
24-Jun-12,15:15,Melbourne,GWS Giants,MCG,135,57,,20,15,9,3,1.28,3.67
23-Jun-12,17:40,Fremantle,Essendon,Domain Stadium,89,113,,14,5,17,11,2.2,1.65
23-Jun-12,16:40,Collingwood,West Coast,MCG,85,82,,12,13,12,10,1.4,2.91
23-Jun-12,13:40,Western Bulldogs,Brisbane,Etihad Stadium,56,114,,7,14,18,6,1.36,3.09
22-Jun-12,19:50,Sydney,Geelong,SCG,80,74,,12,8,11,8,1.6,2.3
17-Jun-12,16:40,Western Bulldogs,Port Adelaide,Etihad Stadium,95,57,,13,17,8,9,1.45,2.77
17-Jun-12,13:10,Hawthorn,Brisbane,MCG,135,70,,19,21,11,4,1.06,8.94
16-Jun-12,19:40,Gold Coast,North Melbourne,Metricon Stadium,80,87,,12,8,11,21,5.21,1.16
16-Jun-12,14:10,GWS Giants,Richmond,Spotless Stadium,74,86,,12,2,11,20,10.93,1.04
15-Jun-12,20:10,Adelaide,St Kilda,AAMI Stadium,115,111,,17,13,16,15,1.47,2.67
14-Jun-12,17:40,West Coast,Carlton,Domain Stadium,79,69,,10,19,10,9,1.28,3.66
11-Jun-12,15:15,Melbourne,Collingwood,MCG,87,129,,13,9,19,15,8.9,1.06
10-Jun-12,16:10,Port Adelaide,Hawthorn,AAMI Stadium,62,108,,9,8,16,12,3.95,1.25
9-Jun-12,19:40,Essendon,Sydney,Etihad Stadium,82,86,,11,16,13,8,1.5,2.55
9-Jun-12,16:40,Gold Coast,St Kilda,Metricon Stadium,49,144,,7,7,21,18,7.41,1.09
9-Jun-12,13:40,Richmond,Fremantle,MCG,66,78,,9,12,12,6,1.2,4.43
8-Jun-12,19:50,Carlton,Geelong,Etihad Stadium,85,97,,11,19,14,13,2.74,1.44
3-Jun-12,16:40,Collingwood,Gold Coast,MCG,149,52,,23,11,7,10,1.01,16.31
3-Jun-12,15:15,Sydney,Western Bulldogs,SCG,132,40,,20,12,5,10,1.28,3.59
3-Jun-12,13:10,Brisbane,West Coast,Gabba,102,100,,16,6,15,10,4.67,1.19
2-Jun-12,19:40,Essendon,Melbourne,MCG,52,58,,6,16,8,10,1.04,10.88
2-Jun-12,19:10,Port Adelaide,Carlton,AAMI Stadium,99,45,,14,15,6,9,3.11,1.36
2-Jun-12,14:40,Fremantle,Adelaide,Domain Stadium,82,111,,12,10,17,9,2.37,1.57
2-Jun-12,14:10,Hawthorn,North Melbourne,Aurora Stadium,174,59,,27,12,9,5,1.26,3.81
2-Jun-12,13:45,Geelong,GWS Giants,Simonds Stadium,126,61,,19,12,9,7,1.01,19.57
1-Jun-12,19:50,St Kilda,Richmond,Etihad Stadium,113,121,,16,17,18,13,1.85,1.91
27-May-12,14:40,West Coast,Fremantle,Domain Stadium,84,36,,11,18,5,6,1.35,3.12
27-May-12,15:15,Carlton,Melbourne,MCG,107,49,,15,17,6,13,1.04,10.33
27-May-12,13:10,North Melbourne,Brisbane,Etihad Stadium,112,96,,17,10,15,6,1.24,4.04
26-May-12,19:10,Adelaide,Collingwood,AAMI Stadium,49,75,,6,13,10,15,1.46,2.68
26-May-12,19:40,GWS Giants,Essendon,Spotless Stadium,53,119,,7,11,18,11,17.14,1.01
26-May-12,16:40,St Kilda,Sydney,Etihad Stadium,111,83,,16,15,12,11,1.89,1.86
26-May-12,14:10,Gold Coast,Port Adelaide,Metricon Stadium,70,118,,10,10,17,16,2.55,1.5
26-May-12,13:45,Richmond,Hawthorn,MCG,137,75,,21,11,10,15,3.61,1.28
25-May-12,19:50,Western Bulldogs,Geelong,Etihad Stadium,75,95,,11,9,14,11,4.78,1.18
20-May-12,14:40,West Coast,St Kilda,Domain Stadium,121,91,,18,13,13,13,1.38,2.99
20-May-12,15:15,Carlton,Adelaide,Etihad Stadium,55,124,,8,7,19,10,1.41,2.85
20-May-12,13:10,Brisbane,GWS Giants,Gabba,132,40,,19,18,5,10,1.15,5.54
19-May-12,19:45,Essendon,Richmond,MCG,128,109,,19,14,15,19,1.49,2.59
19-May-12,19:10,Western Bulldogs,Gold Coast,TIO Stadium,72,34,,9,18,4,10,1.14,5.48
19-May-12,16:40,Sydney,Melbourne,SCG,138,37,,21,12,5,7,1.09,7.4
19-May-12,14:10,Hawthorn,Fremantle,Aurora Stadium,119,63,,17,17,9,9,1.19,4.61
19-May-12,13:15,Port Adelaide,North Melbourne,AAMI Stadium,95,93,,14,11,14,9,2.64,1.47
18-May-12,19:50,Collingwood,Geelong,MCG,96,84,,14,12,11,18,1.61,2.29
14-May-12,19:40,St Kilda,Carlton,Etihad Stadium,122,98,,19,8,14,14,4.03,1.24
13-May-12,14:40,Fremantle,Port Adelaide,Domain Stadium,87,47,,12,15,7,5,1.14,5.69
13-May-12,13:10,North Melbourne,Western Bulldogs,Etihad Stadium,83,101,,12,11,15,11,1.32,3.39
12-May-12,19:40,Brisbane,Collingwood,Gabba,58,116,,8,10,17,14,4.9,1.17
12-May-12,19:40,Essendon,West Coast,Etihad Stadium,113,52,,16,17,7,10,1.57,2.37
12-May-12,16:40,Richmond,Sydney,MCG,91,62,,13,13,8,14,1.82,1.94
12-May-12,13:40,GWS Giants,Gold Coast,StarTrack Oval Canberra,94,67,,13,16,9,13,3.95,1.25
12-May-12,13:15,Adelaide,Geelong,AAMI Stadium,122,72,,19,8,10,12,2.04,1.76
11-May-12,19:50,Melbourne,Hawthorn,MCG,49,115,,6,13,15,25,11.5,1.03
6-May-12,14:40,West Coast,North Melbourne,Domain Stadium,120,95,,17,18,15,5,1.28,3.61
6-May-12,14:45,Port Adelaide,Richmond,AAMI Stadium,54,91,,8,6,13,13,2.19,1.66
6-May-12,13:10,Carlton,GWS Giants,Etihad Stadium,110,43,,15,20,6,7,1.01,23.67
5-May-12,19:40,St Kilda,Hawthorn,SCG,88,123,,13,10,18,15,3.6,1.28
5-May-12,19:40,Sydney,Adelaide,MCG,94,99,,14,10,15,9,1.26,3.82
5-May-12,16:40,Gold Coast,Fremantle,Metricon Stadium,87,94,,14,3,14,10,6.45,1.11
5-May-12,13:45,Geelong,Melbourne,Simonds Stadium,119,76,,17,17,11,10,1.03,11.68
5-May-12,13:40,Essendon,Brisbane,Etihad Stadium,129,62,,19,15,9,8,1.15,5.48
4-May-12,19:50,Western Bulldogs,Collingwood,Etihad Stadium,77,98,,11,11,15,8,6.83,1.1
29-Apr-12,16:10,Adelaide,Port Adelaide,AAMI Stadium,110,91,,16,14,14,7,1.51,2.53
29-Apr-12,15:15,Richmond,West Coast,Etihad Stadium,97,107,,14,13,16,11,3.13,1.35
29-Apr-12,13:10,Hawthorn,Sydney,Aurora Stadium,69,106,,10,9,16,10,1.31,3.38
28-Apr-12,19:40,Brisbane,Geelong,Gabba,41,79,,4,17,12,7,3.61,1.28
28-Apr-12,19:40,Melbourne,St Kilda,MCG,66,84,,10,6,12,12,6.64,1.1
28-Apr-12,16:40,North Melbourne,Gold Coast,Etihad Stadium,127,88,,17,25,12,16,1.01,15.53
28-Apr-12,13:40,GWS Giants,Western Bulldogs,StarTrack Oval Canberra,62,104,,9,8,15,14,11.93,1.03
27-Apr-12,18:40,Fremantle,Carlton,Domain Stadium,57,65,,7,15,10,5,2.18,1.66
25-Apr-12,14:40,Collingwood,Essendon,MCG,80,79,,11,14,11,13,1.68,2.15
