Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds
12-Jul-15,16:40,Brisbane,Sydney,Gabba,49,70,,7,7,10,10,5.69,1.14
12-Jul-15,15:20,Hawthorn,Fremantle,Aurora Stadium,115,43,,17,13,6,7,1.4,2.95
12-Jul-15,13:10,GWS Giants,St Kilda,Spotless Stadium,84,49,,12,12,6,13,1.69,2.17
11-Jul-15,17:40,West Coast,Adelaide,Domain Stadium,147,91,,22,15,14,7,1.18,4.87
11-Jul-15,19:20,North Melbourne,Geelong,Etihad Stadium,120,79,,18,12,11,13,2.03,1.79
11-Jul-15,16:35,Western Bulldogs,Gold Coast,Cazaly’s Stadium,95,73,,14,11,11,7,1.65,2.25
11-Jul-15,13:40,Essendon,Melbourne,MCG,69,60,,10,9,7,18,2.64,1.48
10-Jul-15,19:50,Richmond,Carlton,MCG,71,41,,10,11,5,11,1.31,3.48
9-Jul-15,19:20,Port Adelaide,Collingwood,Adelaide Oval,66,63,,9,12,9,9,1.81,2
5-Jul-15,14:40,Fremantle,Brisbane,Domain Stadium,84,48,,13,6,7,6,1.03,11.65
5-Jul-15,13:10,Essendon,St Kilda,Etihad Stadium,52,162,,8,4,25,12,1.7,2.14
4-Jul-15,19:10,Melbourne,West Coast,TIO Stadium,60,114,,9,6,16,18,4.53,1.2
4-Jul-15,19:30,Western Bulldogs,Carlton,Etihad Stadium,64,53,,9,10,7,11,1.39,3.03
4-Jul-15,16:40,Gold Coast,North Melbourne,Metricon Stadium,125,70,,19,11,10,10,3.8,1.27
4-Jul-15,13:40,Richmond,GWS Giants,MCG,78,69,,10,18,10,9,1.18,4.87
3-Jul-15,19:50,Collingwood,Hawthorn,MCG,91,101,,12,19,15,11,3.47,1.3
2-Jul-15,19:20,Sydney,Port Adelaide,SCG,94,84,,14,10,12,12,1.44,2.76
28-Jun-15,15:20,Carlton,Gold Coast,Etihad Stadium,103,69,,14,19,9,15,1.42,2.88
27-Jun-15,19:20,St Kilda,Western Bulldogs,Etihad Stadium,56,62,,7,14,9,8,2.55,1.51
27-Jun-15,16:35,Brisbane,Adelaide,Gabba,69,82,,10,9,11,16,3.55,1.3
27-Jun-15,13:40,Hawthorn,Essendon,MCG,114,76,,16,18,11,10,1.06,9.26
26-Jun-15,19:50,Sydney,Richmond,SCG,77,95,,11,11,14,11,1.34,3.31
25-Jun-15,18:10,Fremantle,Collingwood,Domain Stadium,80,73,,12,8,11,7,1.33,3.34
21-Jun-15,15:20,Geelong,Melbourne,Simonds Stadium,89,113,,13,11,18,5,1.11,6.49
20-Jun-15,19:20,Western Bulldogs,Brisbane,Etihad Stadium,146,74,,22,14,11,8,1.29,3.68
20-Jun-15,19:35,GWS Giants,North Melbourne,Spotless Stadium,61,117,,8,13,18,9,2.96,1.4
20-Jun-15,13:40,Carlton,Port Adelaide,MCG,110,106,,17,8,16,10,3.21,1.35
19-Jun-15,19:50,Richmond,West Coast,MCG,70,90,,10,10,13,12,1.88,1.93
18-Jun-15,19:20,Adelaide,Hawthorn,Adelaide Oval,85,114,,12,13,17,12,2.99,1.4
14-Jun-15,16:40,St Kilda,Melbourne,Etihad Stadium,85,83,,12,13,12,11,1.65,2.24
14-Jun-15,13:10,Collingwood,GWS Giants,MCG,119,77,,18,11,11,11,1.65,2.25
13-Jun-15,19:20,North Melbourne,Sydney,Etihad Stadium,75,91,,10,15,14,7,2.56,1.51
13-Jun-15,14:35,West Coast,Essendon,Domain Stadium,96,46,,14,12,6,10,1.14,5.65
13-Jun-15,13:40,Gold Coast,Fremantle,Metricon Stadium,46,53,,7,4,6,17,9.37,1.06
12-Jun-15,19:20,Port Adelaide,Geelong,Adelaide Oval,69,92,,11,3,14,8,1.44,2.79
8-Jun-15,15:20,Melbourne,Collingwood,MCG,85,110,,13,7,17,8,3.92,1.25
7-Jun-15,16:40,St Kilda,Hawthorn,Etihad Stadium,69,132,,10,9,20,12,12.71,1.02
7-Jun-15,15:20,North Melbourne,West Coast,Blundstone Arena,85,75,,13,7,10,15,2.1,1.73
7-Jun-15,13:10,GWS Giants,Brisbane,Spotless Stadium,97,67,,14,13,10,7,1.08,7.65
6-Jun-15,19:10,Port Adelaide,Western Bulldogs,Adelaide Oval,100,62,,16,4,9,8,1.23,4.13
6-Jun-15,19:20,Essendon,Geelong,Etihad Stadium,53,122,,7,11,19,8,2,1.81
6-Jun-15,16:35,Gold Coast,Sydney,Metricon Stadium,41,93,,5,11,13,15,14.72,1.02
6-Jun-15,13:40,Carlton,Adelaide,MCG,90,99,,14,6,14,15,3.43,1.31
